env,nq,mq,dropout,seed,type,status,job_id,final_score,peak_score,purpose,maxsteps
door-binary-v0,2,1,0,3,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,2,1,0,4,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,2,2,0,0,standard,done,49894172,-17151.5,-6990.0,no dropout grid,2000000
door-binary-v0,2,2,0,1,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,2,2,0,2,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,2,2,0,3,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,2,2,0,4,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,4,2,0,0,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,4,2,0,1,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,4,2,0,2,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,4,2,0,3,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,4,2,0,4,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,6,2,0,0,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,6,2,0,1,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,6,2,0,2,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,6,2,0,3,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,6,2,0,4,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,10,2,0,0,standard,done,49894175,-4637.0,-4440.0,no dropout grid,2000000
door-binary-v0,10,2,0,1,standard,done,49894175,-3344.0,-3050.0,no dropout grid,2000000
door-binary-v0,10,2,0,2,standard,done,49894176,-4401.5,-3570.0,no dropout grid,2000000
door-binary-v0,10,2,0,3,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,10,2,0,4,standard,TODO,,,,,no dropout grid,2000000
door-binary-v0,2,1,0.01,0,standard,done,50044220,-5219.5,-3230.0,dropout grid,2000000
door-binary-v0,2,1,0.01,1,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,2,1,0.01,2,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,2,1,0.01,3,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,2,1,0.01,4,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,2,2,0.01,0,standard,done,50038680,-5187.5,-4520.0,dropout grid,2000000
door-binary-v0,2,2,0.01,1,standard,done,50044212,-3924.0,-3265.0,dropout grid,2000000
door-binary-v0,2,2,0.01,2,standard,done,50044212,-3832.0,-3290.0,dropout grid,2000000
door-binary-v0,2,2,0.01,3,standard,TODO,,,,,dropout grid,2000000
door-binary-v0,2,2,0.01,4,standard,TODO,,,,,dropout grid,2000000
